Date,^SP500TR_pct_from_sma200,SPY_pct_from_sma200,^SPX_pct_from_sma200
2021-03-23 00:00:00+00:00,11.646833157308233,11.569890516730164,10.964017719327334
2021-03-24 00:00:00+00:00,10.932628499083318,10.892451173594342,10.254606080083327
2021-03-25 00:00:00+00:00,11.399378024248596,11.39839844070918,10.722140718355245
2021-03-26 00:00:00+00:00,13.119987189917204,13.061047355934384,12.438691112564836
2021-03-29 00:00:00+00:00,12.860236124556025,12.842974734218537,12.187326307188373
2021-03-30 00:00:00+00:00,12.36307356127595,12.39088684324734,11.688348682932492
2021-03-31 00:00:00+00:00,12.627940815010398,12.69543240770188,11.949807542307212
2021-04-01 00:00:00+00:00,13.809185480427132,13.762681336712369,13.130959440174749
2021-04-05 00:00:00+00:00,15.304010589138016,15.232535092339239,14.608836424553594
2021-04-06 00:00:00+00:00,15.03452650398598,15.002635267467191,14.343233682835699
2021-04-07 00:00:00+00:00,15.040786671230478,14.970524730773004,14.354292456262918
2021-04-08 00:00:00+00:00,15.387096067006144,15.350819043633756,14.679551170732253
2021-04-09 00:00:00+00:00,16.109656700073426,16.020680718697733,15.403764729926927
2021-04-12 00:00:00+00:00,15.906811212812876,15.881596365424544,15.207624617121995
2021-04-13 00:00:00+00:00,16.10992593757825,16.046931821281586,15.416802932449624
2021-04-14 00:00:00+00:00,15.462441273285311,15.464265298058821,14.766608489084799
2021-04-15 00:00:00+00:00,16.55729950729925,16.51678670809069,15.8597762056935
2021-04-16 00:00:00+00:00,16.7943206485603,16.722393751748086,16.10288126231998
2021-04-19 00:00:00+00:00,15.998612357271714,15.973339508905049,15.31924805380056
2021-04-20 00:00:00+00:00,15.046175230699909,14.958043131623743,14.37562267037109
2021-04-21 00:00:00+00:00,15.950207376894276,15.879945955580755,15.281574176768453
2021-04-22 00:00:00+00:00,14.727516242264649,14.658583956071336,14.063845860751844
2021-04-23 00:00:00+00:00,15.816573969417247,15.734100092309289,15.149969096763627
2021-04-26 00:00:00+00:00,15.850601500217621,15.803897436316738,15.190897545418224
2021-04-27 00:00:00+00:00,15.65999493983712,15.612963834714733,15.007699099425231
2021-04-28 00:00:00+00:00,15.393085221518055,15.410055809805145,14.748443908062981
2021-04-29 00:00:00+00:00,16.011255579895266,15.977521112041849,15.364031134699395
2021-04-30 00:00:00+00:00,15.028316616811122,15.058029245203986,14.384466206501179
2021-05-03 00:00:00+00:00,15.183554484698302,15.145750320955731,14.545713033624486
2021-05-04 00:00:00+00:00,14.260730688571766,14.281837055750636,13.634834405997932
2021-05-05 00:00:00+00:00,14.192126945279693,14.168245423634417,13.57288187505219
2021-05-06 00:00:00+00:00,14.987538085425122,14.92563010954191,14.35311760003255
2021-05-07 00:00:00+00:00,15.696847654879154,15.605128034727311,15.046522123564966
2021-05-10 00:00:00+00:00,14.336656538475111,14.305921373993113,13.69871272186931
2021-05-11 00:00:00+00:00,13.195677935914318,13.135682914176572,12.569416797737443
2021-05-12 00:00:00+00:00,10.65277118703085,10.60236486062822,10.032020625833905
2021-05-13 00:00:00+00:00,11.876244622482734,11.789467443931212,11.236791467610319
2021-05-14 00:00:00+00:00,13.40651143378424,13.359030778525028,12.7566219757693
2021-05-17 00:00:00+00:00,12.972765908564998,12.924226955264917,12.332192235530792
2021-05-18 00:00:00+00:00,11.888126893835981,11.815836997908447,11.246850282089405
2021-05-19 00:00:00+00:00,11.444228750617391,11.392910463330196,10.79681830803283
