date,SPY_close,SMA200,daily_ret,equity,pct_from_sma200,w_long,w_safe,w_other,TQQQ_value,SPY_value
2024-04-29,510.06,468.10,0.0035,7407.50,8.96,0.00,1.00,0.00,0.00,7407.50
2024-04-30,501.98,468.36,-0.0158,7290.16,7.18,0.00,1.00,0.00,0.00,7290.16
2024-05-01,500.35,468.61,-0.0032,7266.49,6.77,0.00,1.00,0.00,0.00,7266.49
2024-05-02,505.03,468.86,0.0094,7334.45,7.71,0.00,1.00,0.00,0.00,7334.45
2024-05-03,511.29,469.14,0.0124,7425.36,8.98,0.00,1.00,0.00,0.00,7425.36
2024-05-06,516.57,469.47,0.0103,7502.04,10.03,0.00,1.00,0.00,0.00,7502.04
2024-05-07,517.14,469.79,0.0011,7510.32,10.08,0.00,1.00,0.00,0.00,7510.32
2024-05-08,517.19,470.11,0.0001,7511.05,10.02,0.00,1.00,0.00,0.00,7511.05
2024-05-09,520.17,470.43,0.0058,7554.33,10.57,0.00,1.00,0.00,0.00,7554.33
2024-05-10,520.84,470.76,0.0013,7564.06,10.64,0.00,1.00,0.00,0.00,7564.06
2024-05-13,520.91,471.10,0.0001,7565.07,10.57,0.00,1.00,0.00,0.00,7565.07
2024-05-14,523.30,471.43,0.0046,7599.78,11.00,0.00,1.00,0.00,0.00,7599.78
2024-05-15,529.78,471.79,0.0124,7693.89,12.29,0.00,1.00,0.00,0.00,7693.89
2024-05-16,528.69,472.15,-0.0021,7678.06,11.97,0.00,1.00,0.00,0.00,7678.06
2024-05-17,529.45,472.55,0.0014,7689.10,12.04,0.00,1.00,0.00,0.00,7689.10
2024-05-20,530.06,472.95,0.0012,7697.96,12.07,0.00,1.00,0.00,0.00,7697.96
2024-05-21,531.36,473.38,0.0025,7716.84,12.25,0.00,1.00,0.00,0.00,7716.84
2024-05-22,529.83,473.77,-0.0029,7694.62,11.83,0.00,1.00,0.00,0.00,7694.62
2024-05-23,525.96,474.16,-0.0073,7638.41,10.92,0.00,1.00,0.00,0.00,7638.41
2024-05-24,529.44,474.58,0.0066,7688.95,11.56,0.00,1.00,0.00,0.00,7688.95
2024-05-28,529.81,475.00,0.0007,7694.33,11.54,0.00,1.00,0.00,0.00,7694.33
2024-05-29,526.10,475.40,-0.0070,7640.45,10.67,0.00,1.00,0.00,0.00,7640.45
2024-05-30,522.61,475.77,-0.0066,7589.76,9.84,0.00,1.00,0.00,0.00,7589.76
2024-05-31,527.37,476.19,0.0091,7658.89,10.75,0.00,1.00,0.00,0.00,7658.89
2024-06-03,527.80,476.63,0.0008,7665.13,10.73,0.00,1.00,0.00,0.00,7665.13
2024-06-04,528.39,477.09,0.0011,7673.70,10.75,0.00,1.00,0.00,0.00,7673.70
2024-06-05,534.67,477.59,0.0119,7764.91,11.95,0.00,1.00,0.00,0.00,7764.91
2024-06-06,534.66,478.06,-0.0000,7764.76,11.84,0.00,1.00,0.00,0.00,7764.76
