Ticker,Weight
WYNN,0.014135
BXP,0.013979
BAX,0.013927
CRL,0.013883
TECH,0.013863
FDS,0.013664
BLDR,0.013370
NCLH,0.012843
FOX,0.012668
MOS,0.011877
HSIC,0.011714
MGM,0.011707
TAP,0.011038
CAG,0.010828
POOL,0.010801
AOS,0.010763
ARE,0.010380
EPAM,0.009914
HRL,0.009858
ERIE,0.008632
DVA,0.008149
BF-B,0.006893
CPB,0.006595
NWS,0.005876
PSKY,0.005647
